indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2004-01-01,94.89899446195028,98.1316441625795,96.67562149855858,,,
2004-04-01,106.0357801312659,96.88958532072184,98.7490192852719,,-0.012657067477641504,0.021446955856851968
2004-07-01,99.18303625571839,101.78535647891812,101.0661084027336,,0.050529384990042114,0.023464426626536472
2004-10-01,99.88218915106556,103.1934140377805,103.50925081343593,,0.013833596575888896,0.02417370619403636
2005-01-01,101.7495505099361,106.15505272945354,105.77227302399005,0.07218786760414564,0.02869988089151465,0.02186299478326803
2005-04-01,119.90311901736835,108.64757714451623,107.67131496770757,0.1307798072399291,0.023480035579795944,0.01795406196184146
2005-07-01,106.0980555940946,109.24637979871882,109.39253081543552,0.0697197786983208,0.005511422067020488,0.015985834743860616
2005-10-01,107.65591455625899,111.35762999232249,111.26831626016632,0.07782894499274695,0.01932558495296166,0.01714728995433501
2006-01-01,109.7364537902141,114.29319024939173,113.48762991174969,0.0784957106960198,0.026361554724823266,0.019945602900957038
2006-04-01,126.58362357570458,115.6756131726341,115.98494503180241,0.055715853041058416,0.0120954093610115,0.02200517467846219
2006-07-01,116.05057338750493,118.93440419862675,118.61958395833813,0.09380490281071907,0.028171806801916333,0.022715352633165597
2006-10-01,118.07382087608066,121.5412639951863,121.34344905609647,0.09677040376985002,0.02191846685678911,0.022963030275970464
2007-01-01,118.90925936757442,124.40688873403668,124.13185963977759,0.08358941136275644,0.02357738141479171,0.022979490078545828
2007-04-01,139.0639933922362,126.97307361416576,126.91538221013637,0.09859387386763818,0.020627353567334916,0.022423917424876816
2007-07-01,125.8310809570102,128.71135975799996,129.63673976160686,0.08427797712680962,0.013690195049671283,0.021442298829976947
2007-10-01,129.0161334974014,132.72914509312307,132.14952782327137,0.09267348629976824,0.03121546802611097,0.019383301880974146
2008-01-01,127.1286414358048,134.0283416548081,133.9750179283443,0.06912314576632306,0.009788329162924159,0.01381382238091855
2008-04-01,146.6467155605454,134.63300513484967,134.28120770984086,0.05452685474752483,0.0045114598343602985,0.0022854244487604536
