date,revenue,expenditure
2006-12-01,17190.4,17668.5
2007-01-01,13813.2,12278.5
2007-02-01,12155.9,11327.8
2007-03-01,13519.2,12373.4
2007-04-01,13096.1,11747.5
2007-05-01,17714.4,12521.22
2007-06-01,17911.9,15799.5
2007-07-01,18761.4,16504
2007-08-01,16575.5,14123.2
2007-09-01,18255.3,15326.5
2007-10-01,17042,15551.9
2007-11-01,17094.3,15451.5
2007-12-01,18499.9,19986.9
2008-01-01,21371,18165.6
2008-02-01,18999.9,16034.8
2008-03-01,17440.6,16361.1
2008-04-01,19859.7,17969.1
2008-05-01,22526.6,17681.9
2008-06-01,21485.6,20019
2008-07-01,23841.3,21302.7
2008-08-01,23263.9,19829.2
2008-09-01,23533,20375.6
2008-10-01,24380.9,22275.1
2008-11-01,21501.1,19879.7
2008-12-01,23291.1,27357.1
2009-01-01,24064,22251.6
2009-02-01,21936.7,20654.8
2009-03-01,21255.6,20752.02
2009-04-01,22180.7,21577.5
2009-05-01,24146.1,23519.5
2009-06-01,25729.5,28133.1
2009-07-01,26868.1,27019.4
2009-08-01,24410.4,24199.4
2009-09-01,24672.1,25470.8
2009-10-01,25869,25445.2
2009-11-01,29441,26988.9
2009-12-01,33206.4,36231.3
2010-01-01,27814.5,27096.1
2010-02-01,26687.4,27323.1
2010-03-01,28405.9,29072.1
2010-04-01,30605.4,28967.8
2010-05-01,34525.9,31811.5
2010-06-01,36511.1,36085.8
2010-07-01,37210.2,36598.5
2010-08-01,34726.7,32805.6
2010-09-01,35981.6,36086
2010-10-01,36662,36867.4
2010-11-01,36846.7,39948.3
2010-12-01,40173.8,50507.3
2011-01-01,39682.1,37753
2011-02-01,35643.5,35053.3
2011-03-01,37054.7,38094.8
2011-04-01,39990.5,39037.6
2011-05-01,46061.5,43264
2011-06-01,47084.1,49307.4
2011-07-01,49414.7,50962.5
2011-08-01,46755.2,47025.4
2011-09-01,47570.8,51171.9
2011-10-01,49024.1,51897
2011-11-01,45035,45723.2
2011-12-01,48040,60535.2
2012-01-01,52336.5,51922.2
2012-02-01,47292.8,46833.2
2012-03-01,52395.3,55061.8
2012-04-01,51007.9,51814.4
2012-05-01,57517.9,55373.5
2012-06-01,57746.5,65758.1
2012-07-01,63884.2,63874.5
2012-08-01,60054.8,60291.63
2012-09-01,57856.1,61323
2012-10-01,62551.2,65456.8
2012-11-01,61015.7,63343.6
